DATE,NAV
"Jun 17, 2020",104.92
"Jun 16, 2020",105.21
"Jun 15, 2020",104.51
"Jun 12, 2020",105.72
"Jun 11, 2020",105.3
"Jun 10, 2020",107.52
"Jun 09, 2020",106.85
"Jun 08, 2020",108.1
"Jun 05, 2020",107.66
"Jun 04, 2020",106.27
"Jun 03, 2020",106.36
"Jun 02, 2020",105.89
"Jun 01, 2020",104.42
"May 29, 2020",101.38
"May 28, 2020",100.37
"May 27, 2020",98.6
"May 26, 2020",96.21
"May 22, 2020",96.11
"May 21, 2020",96.69
"May 20, 2020",96.25
"May 19, 2020",94.34
"May 18, 2020",93.93
"May 15, 2020",97.08
"May 14, 2020",97.42
"May 13, 2020",99.69
"May 12, 2020",97.96
"May 11, 2020",98.21
"May 08, 2020",98.12
"May 07, 2020",97.6
"May 06, 2020",98.5
"May 05, 2020",97.65
"May 04, 2020",98.8
"Apr 30, 2020",104.18
"Apr 29, 2020",101.12
"Apr 28, 2020",99.35
"Apr 27, 2020",98.43
"Apr 24, 2020",97.1
"Apr 23, 2020",98.62
"Apr 22, 2020",97.38
"Apr 21, 2020",95.6
"Apr 20, 2020",97.99
"Apr 17, 2020",98.21
"Apr 16, 2020",95.68
"Apr 15, 2020",95.2
"Apr 13, 2020",95.62
"Apr 09, 2020",96.23
"Apr 08, 2020",92.82
"Apr 07, 2020",92.41
"Apr 03, 2020",86.59
"Apr 01, 2020",89.35
"Mar 31, 2020",91.94
"Mar 30, 2020",89.17
"Mar 27, 2020",91.26
"Mar 26, 2020",92.68
"Mar 25, 2020",89.46
"Mar 24, 2020",85
"Mar 23, 2020",83.52
"Mar 20, 2020",92.97
"Mar 19, 2020",89.47
"Mar 18, 2020",96.08
"Mar 17, 2020",99.2
"Mar 16, 2020",102.37
"Mar 13, 2020",106.36
"Mar 12, 2020",102.99
"Mar 11, 2020",111.31
"Mar 09, 2020",111.62
"Mar 06, 2020",117.18
"Mar 05, 2020",119.75
"Mar 04, 2020",119.52
"Mar 03, 2020",120.4
"Mar 02, 2020",118.39
"Feb 28, 2020",119.29
"Feb 27, 2020",123.64
"Feb 26, 2020",124.04
"Feb 25, 2020",125.34
"Feb 24, 2020",125.73
"Feb 20, 2020",128.36
"Feb 19, 2020",128.59
"Feb 18, 2020",127.34
"Feb 17, 2020",127.84
"Feb 14, 2020",128.38
"Feb 13, 2020",129.3
"Feb 12, 2020",129.19
"Feb 11, 2020",128.3
"Feb 10, 2020",127.91
"Feb 07, 2020",128.19
"Feb 06, 2020",128.94
"Feb 05, 2020",127.91
"Feb 04, 2020",126.75
"Feb 03, 2020",124.42
"Feb 01, 2020",124.71
"Jan 31, 2020",127.17
"Jan 30, 2020",127.74
"Jan 29, 2020",128.76
"Jan 28, 2020",128.1
"Jan 27, 2020",128.73
"Jan 24, 2020",130.11
"Jan 23, 2020",129.31
"Jan 22, 2020",128.53
"Jan 21, 2020",129.27
"Jan 20, 2020",129.78
"Jan 17, 2020",131.19
"Jan 16, 2020",130.91
"Jan 15, 2020",131.01
"Jan 14, 2020",131.01
"Jan 13, 2020",130.41
"Jan 10, 2020",129.61
"Jan 09, 2020",129.34
"Jan 08, 2020",127.56
"Jan 07, 2020",127.76
"Jan 06, 2020",127.37
"Jan 03, 2020",129.71
"Jan 02, 2020",130.14
"Jan 01, 2020",129.42
"Dec 31, 2019",129.15
"Dec 30, 2019",130.26
"Dec 27, 2019",129.56
"Dec 26, 2019",128.69
"Dec 24, 2019",129.45
"Dec 23, 2019",129.93
"Dec 20, 2019",130.34
"Dec 19, 2019",130.2
"Dec 18, 2019",129.25
"Dec 17, 2019",128.62
"Dec 16, 2019",127.53
"Dec 13, 2019",127.91
"Dec 12, 2019",127.11
"Dec 11, 2019",126.22
"Dec 10, 2019",125.8
"Dec 09, 2019",126.33
"Dec 06, 2019",126.23
"Dec 05, 2019",127.2
"Dec 04, 2019",127.47
"Dec 03, 2019",126.96
"Dec 02, 2019",127.63
"Nov 29, 2019",127.51
"Nov 28, 2019",128.41
"Nov 27, 2019",127.9
"Nov 26, 2019",127.51
"Nov 25, 2019",127.74
"Nov 22, 2019",126.44
"Nov 21, 2019",126.6
"Nov 20, 2019",126.83
"Nov 19, 2019",126.4
"Nov 18, 2019",125.73
"Nov 15, 2019",126.04
"Nov 14, 2019",125.55
"Nov 13, 2019",125.7
"Nov 11, 2019",126.49
"Nov 08, 2019",126.06
"Nov 07, 2019",126.98
"Nov 06, 2019",126.47
"Nov 05, 2019",126.06
"Nov 04, 2019",126.34
"Nov 01, 2019",126.14
"Oct 31, 2019",125.5
"Oct 30, 2019",125.29
"Oct 29, 2019",124.68
"Oct 25, 2019",122.54
"Oct 24, 2019",122.67
"Oct 23, 2019",123
"Oct 22, 2019",122.96
"Oct 18, 2019",123.45
"Oct 17, 2019",122.48
"Oct 16, 2019",120.95
"Oct 15, 2019",120.87
"Oct 14, 2019",119.89
"Oct 11, 2019",119.74
"Oct 10, 2019",118.54
"Oct 09, 2019",119.43
"Oct 07, 2019",117.57
"Oct 04, 2019",118.22
"Oct 03, 2019",119.84
"Oct 01, 2019",120.5
"Sep 30, 2019",121.57
"Sep 27, 2019",122.09
"Sep 26, 2019",122.76
"Sep 25, 2019",121.36
"Sep 24, 2019",122.69
"Sep 23, 2019",123
"Sep 20, 2019",119.55
"Sep 19, 2019",113.52
"Sep 18, 2019",114.82
"Sep 17, 2019",114.66
"Sep 16, 2019",116.4
"Sep 13, 2019",117.31
"Sep 12, 2019",116.44
"Sep 11, 2019",116.78
"Sep 09, 2019",116.43
"Sep 06, 2019",115.97
"Sep 05, 2019",114.98
"Sep 04, 2019",114.89
"Sep 03, 2019",114.52
"Aug 30, 2019",116.61
"Aug 29, 2019",116.12
"Aug 28, 2019",116.86
"Aug 27, 2019",117.45
"Aug 26, 2019",117.09
"Aug 23, 2019",114.74
"Aug 22, 2019",113.87
"Aug 21, 2019",115.68
"Aug 20, 2019",116.71
"Aug 19, 2019",117.13
"Aug 16, 2019",117.01
"Aug 14, 2019",116.71
"Aug 13, 2019",115.76
"Aug 09, 2019",117.61
"Aug 08, 2019",116.94
"Aug 07, 2019",114.91
"Aug 06, 2019",115.87
"Aug 05, 2019",115.15
"Aug 02, 2019",116.34
"Aug 01, 2019",116.27
"Jul 31, 2019",117.58
"Jul 30, 2019",117.25
"Jul 29, 2019",118.36
"Jul 26, 2019",119.32
"Jul 25, 2019",118.99
"Jul 24, 2019",119.14
"Jul 23, 2019",119.69
"Jul 22, 2019",119.89
"Jul 19, 2019",120.72
"Jul 18, 2019",122.56
"Jul 17, 2019",123.27
"Jul 16, 2019",122.95
"Jul 15, 2019",122.22
"Jul 12, 2019",121.97
"Jul 11, 2019",122.2
"Jul 10, 2019",121.35
"Jul 09, 2019",121.8
"Jul 08, 2019",121.94
"Jul 05, 2019",124.61
"Jul 04, 2019",126.04
"Jul 03, 2019",125.48
"Jul 02, 2019",125.3
"Jul 01, 2019",124.93
"Jun 28, 2019",124.29
"Jun 27, 2019",124.82
"Jun 26, 2019",124.65
"Jun 25, 2019",124.07
"Jun 24, 2019",123.41
"Jun 21, 2019",123.68
"Jun 20, 2019",124.49
"Jun 19, 2019",123.03
"Jun 18, 2019",123.14
"Jun 17, 2019",123.08
"Jun 14, 2019",124.52
"Jun 13, 2019",125.42
"Jun 12, 2019",125.07
"Jun 11, 2019",125.62
"Jun 10, 2019",125.67
"Jun 07, 2019",124.89
"Jun 06, 2019",124.68
"Jun 04, 2019",126.59
"Jun 03, 2019",126.8
"May 31, 2019",125.25
"May 30, 2019",125.48
"May 29, 2019",124.75
"May 28, 2019",125.18
"May 27, 2019",125.03
"May 24, 2019",124.55
"May 23, 2019",122.6
"May 22, 2019",123.31
"May 21, 2019",123.07
"May 20, 2019",123.93
"May 17, 2019",119.63
"May 16, 2019",118.06
"May 15, 2019",117.5
"May 14, 2019",117.86
"May 13, 2019",117.22
"May 10, 2019",118.5
"May 09, 2019",118.46
"May 08, 2019",119.53
"May 07, 2019",120.9
"May 06, 2019",121.83
"May 03, 2019",122.99
"May 02, 2019",123.18
"Apr 30, 2019",123.41
"Apr 26, 2019",123.39
"Apr 25, 2019",122.43
"Apr 24, 2019",122.94
"Apr 23, 2019",121.7
"Apr 22, 2019",121.87
"Apr 18, 2019",123.47
"Apr 16, 2019",123.75
"Apr 15, 2019",122.88
"Apr 12, 2019",122.41
"Apr 11, 2019",121.69
"Apr 10, 2019",121.66
"Apr 09, 2019",122.44
"Apr 08, 2019",121.95
"Apr 05, 2019",122.5
"Apr 04, 2019",121.81
"Apr 03, 2019",122.15
"Apr 02, 2019",122.53
"Apr 01, 2019",122.08
"Mar 29, 2019",122.06
"Mar 28, 2019",120.98
"Mar 27, 2019",120.1
"Mar 26, 2019",120.39
"Mar 25, 2019",118.81
"Mar 22, 2019",119.98
"Mar 20, 2019",120.67
"Mar 19, 2019",120.74
"Mar 18, 2019",119.99
"Mar 15, 2019",119.89
"Mar 14, 2019",118.73
"Mar 13, 2019",118.82
"Mar 12, 2019",118.47
"Mar 11, 2019",117.23
"Mar 08, 2019",115.82
"Mar 07, 2019",115.75
"Mar 06, 2019",115.59
"Mar 05, 2019",114.89
"Mar 01, 2019",113.71
"Feb 28, 2019",113.36
"Feb 27, 2019",112.91
"Feb 26, 2019",113.62
"Feb 25, 2019",113.65
"Feb 22, 2019",112.9
"Feb 21, 2019",112.77
"Feb 20, 2019",112.32
"Feb 19, 2019",111.38
"Feb 18, 2019",111.67
"Feb 15, 2019",112.25
"Feb 14, 2019",112.86
"Feb 13, 2019",113.32
"Feb 12, 2019",113.58
"Feb 11, 2019",114.22
"Feb 08, 2019",114.64
"Feb 07, 2019",115.7
"Feb 06, 2019",115.45
"Feb 05, 2019",114.71
"Feb 04, 2019",114.3
"Feb 01, 2019",113.86
"Jan 31, 2019",113.47
"Jan 30, 2019",111.59
"Jan 29, 2019",111.8
"Jan 28, 2019",111.78
"Jan 25, 2019",112.92
"Jan 24, 2019",113.47
"Jan 23, 2019",113.31
"Jan 22, 2019",114.07
"Jan 21, 2019",114.48
"Jan 18, 2019",113.83
"Jan 17, 2019",114.15
"Jan 16, 2019",114.13
"Jan 15, 2019",113.6
"Jan 14, 2019",112.17
"Jan 11, 2019",112.69
"Jan 10, 2019",113.25
"Jan 09, 2019",113.26
"Jan 08, 2019",112.86
"Jan 07, 2019",112.56
"Jan 04, 2019",112.49
"Jan 03, 2019",111.83
"Jan 02, 2019",112.97
"Jan 01, 2019",113.98
"Dec 31, 2018",113.67
"Dec 28, 2018",113.57
"Dec 27, 2018",112.98
"Dec 26, 2018",112.38
"Dec 24, 2018",111.84
"Dec 21, 2018",112.6
"Dec 20, 2018",114.53
"Dec 19, 2018",114.54
"Dec 18, 2018",113.91
"Dec 17, 2018",113.64
"Dec 14, 2018",112.65
"Dec 13, 2018",112.55
"Dec 12, 2018",112.17
"Dec 11, 2018",110.58
"Dec 10, 2018",109.88
"Dec 07, 2018",111.92
"Dec 06, 2018",111.02
"Dec 05, 2018",112.64
"Dec 04, 2018",113.62
"Dec 03, 2018",113.8
"Nov 30, 2018",113.51
"Nov 29, 2018",113.55
"Nov 28, 2018",111.96
"Nov 27, 2018",111.6
"Nov 26, 2018",111.32
"Nov 22, 2018",110.34
"Nov 21, 2018",110.7
"Nov 20, 2018",111.53
"Nov 19, 2018",112.24
"Nov 16, 2018",111.5
"Nov 15, 2018",110.79
"Nov 14, 2018",110.4
"Nov 13, 2018",110.78
"Nov 12, 2018",109.76
"Nov 09, 2018",110.82
"Nov 07, 2018",110.98
"Nov 06, 2018",110.22
"Nov 05, 2018",110.15
"Nov 02, 2018",110.18
"Nov 01, 2018",108.64
"Oct 31, 2018",108.48
"Oct 30, 2018",106.87
"Oct 29, 2018",107.17
"Oct 26, 2018",105.02
"Oct 25, 2018",106.13
"Oct 24, 2018",107.04
"Oct 23, 2018",106.21
"Oct 22, 2018",107.15
"Oct 19, 2018",107.44
"Oct 17, 2018",109.32
"Oct 16, 2018",110.62
"Oct 15, 2018",109.98
"Oct 12, 2018",109.58
"Oct 11, 2018",107.01
"Oct 10, 2018",109.47
"Oct 09, 2018",107.78
"Oct 08, 2018",108.05
"Oct 05, 2018",107.98
"Oct 04, 2018",110.8
"Oct 03, 2018",113.61
"Oct 01, 2018",114.95
"Sep 28, 2018",114.14
"Sep 27, 2018",114.64
"Sep 26, 2018",115.6
"Sep 25, 2018",115.76
"Sep 24, 2018",114.8
"Sep 21, 2018",116.5
"Sep 19, 2018",117.61
"Sep 18, 2018",117.97
"Sep 17, 2018",118.96
"Sep 14, 2018",120.02
"Sep 12, 2018",118.75
"Sep 11, 2018",117.95
"Sep 10, 2018",119.65
"Sep 07, 2018",121.06
"Sep 06, 2018",120.28
"Sep 05, 2018",119.9
"Sep 04, 2018",120.42
"Sep 03, 2018",120.77
"Aug 31, 2018",121.9
"Aug 30, 2018",121.71
"Aug 29, 2018",122
"Aug 28, 2018",122.19
"Aug 27, 2018",121.79
"Aug 24, 2018",120.61
"Aug 23, 2018",120.84
"Aug 21, 2018",120.69
"Aug 20, 2018",120.27
"Aug 17, 2018",119.78
"Aug 16, 2018",118.75
"Aug 14, 2018",119.13
"Aug 13, 2018",118.22
"Aug 10, 2018",118.98
"Aug 09, 2018",119.31
"Aug 08, 2018",119.17
"Aug 07, 2018",118.74
"Aug 06, 2018",118.73
"Aug 03, 2018",118.62
"Aug 02, 2018",117.43
"Aug 01, 2018",118.12
"Jul 31, 2018",118.25
"Jul 30, 2018",117.74
"Jul 27, 2018",117.32
"Jul 26, 2018",116.16
"Jul 25, 2018",115.92
"Jul 24, 2018",115.71
"Jul 23, 2018",115.34
"Jul 20, 2018",114.93
"Jul 19, 2018",114.12
"Jul 18, 2018",114.12
"Jul 17, 2018",114.48
"Jul 16, 2018",113.98
"Jul 13, 2018",114.63
"Jul 12, 2018",114.5
"Jul 11, 2018",113.73
"Jul 10, 2018",113.73
"Jul 09, 2018",112.85
"Jul 06, 2018",112.3
"Jul 05, 2018",111.91
"Jul 04, 2018",111.88
"Jul 03, 2018",111.4
"Jul 02, 2018",111
"Jun 29, 2018",111.19
"Jun 28, 2018",110.05
"Jun 27, 2018",110.78
"Jun 26, 2018",112.13
"Jun 25, 2018",111.83
"Jun 22, 2018",112.48
"Jun 21, 2018",111.53
"Jun 20, 2018",111.97
"Jun 19, 2018",111.48
"Jun 18, 2018",112.4
"Jun 15, 2018",112.49
"Jun 14, 2018",112.2
"Jun 13, 2018",112.57
"Jun 12, 2018",112.63
"Jun 11, 2018",112.25
"Jun 08, 2018",111.85
"Jun 07, 2018",111.79
"Jun 06, 2018",111
"Jun 05, 2018",110.19
"Jun 04, 2018",110.12
"Jun 01, 2018",110.99
"May 31, 2018",111.25
"May 30, 2018",110.3
"May 29, 2018",110.37
"May 28, 2018",111.05
"May 25, 2018",109.81
"May 24, 2018",108.54
"May 23, 2018",107.86
"May 22, 2018",109.28
"May 21, 2018",109.05
"May 18, 2018",109.61
"May 17, 2018",110.63
"May 16, 2018",111.19
"May 15, 2018",111.72
"May 14, 2018",111.69
"May 11, 2018",111.61
"May 10, 2018",110.79
"May 09, 2018",111.22
"May 08, 2018",110.84
"May 07, 2018",110.72
"May 04, 2018",110.02
"May 03, 2018",110.53
"May 02, 2018",110.77
"Apr 30, 2018",111.17
"Apr 27, 2018",110.55
"Apr 26, 2018",109.86
"Apr 25, 2018",109.28
"Apr 24, 2018",109.78
"Apr 23, 2018",109.47
"Apr 20, 2018",109
"Apr 19, 2018",109.15
"Apr 18, 2018",108.68
"Apr 17, 2018",108.91
"Apr 16, 2018",108.94
"Apr 13, 2018",108.47
"Apr 12, 2018",108.4
"Apr 11, 2018",107.84
"Apr 10, 2018",107.61
"Apr 09, 2018",107.36
"Apr 06, 2018",106.87
"Apr 05, 2018",106.9
"Apr 04, 2018",104.95
"Apr 03, 2018",106.27
"Apr 02, 2018",105.81
"Mar 28, 2018",104.92
"Mar 27, 2018",105.18
"Mar 26, 2018",104.7
"Mar 23, 2018",103.68
"Mar 22, 2018",104.58
"Mar 21, 2018",104.91
"Mar 20, 2018",104.65
"Mar 19, 2018",104.77
"Mar 16, 2018",105.68
"Mar 15, 2018",107.26
"Mar 14, 2018",107.82
"Mar 13, 2018",107.92
"Mar 12, 2018",107.99
"Mar 09, 2018",105.9
"Mar 08, 2018",105.96
"Mar 07, 2018",105.07
"Mar 06, 2018",106.09
"Mar 05, 2018",107.17
"Mar 01, 2018",108.12
"Feb 28, 2018",108.67
"Feb 27, 2018",108.99
"Feb 26, 2018",109.36
"Feb 23, 2018",108.47
"Feb 22, 2018",107.46
"Feb 21, 2018",107.66
"Feb 20, 2018",107.18
"Feb 19, 2018",107.41
"Feb 16, 2018",108.27
"Feb 15, 2018",109.22
"Feb 14, 2018",108.65
"Feb 12, 2018",109.14
"Feb 09, 2018",108.23
"Feb 08, 2018",109.49
"Feb 07, 2018",108.39
"Feb 06, 2018",108.73
"Feb 05, 2018",110.29
"Feb 02, 2018",111.25
"Feb 01, 2018",113.5
"Jan 31, 2018",113.54
"Jan 30, 2018",113.71
"Jan 29, 2018",114.63
"Jan 25, 2018",113.93
"Jan 24, 2018",114.19
"Jan 23, 2018",114.19
"Jan 22, 2018",112.88
"Jan 19, 2018",112.18
"Jan 18, 2018",111.54
"Jan 17, 2018",111.05
"Jan 16, 2018",110.38
"Jan 15, 2018",110.9
"Jan 12, 2018",110.27
"Jan 11, 2018",110.03
"Jan 10, 2018",109.91
"Jan 09, 2018",109.49
"Jan 08, 2018",109.25
"Jan 05, 2018",108.72
"Jan 04, 2018",108.18
"Jan 03, 2018",107.63
"Jan 02, 2018",107.46
"Jan 01, 2018",107.81
"Dec 29, 2017",108.45
"Dec 28, 2017",107.99
"Dec 27, 2017",108.24
"Dec 26, 2017",108.28
"Dec 22, 2017",107.94
"Dec 21, 2017",107.45
"Dec 20, 2017",107.51
"Dec 19, 2017",107.78
"Dec 18, 2017",106.93
"Dec 15, 2017",106.37
"Dec 14, 2017",105.4
"Dec 13, 2017",105.21
"Dec 12, 2017",105.6
"Dec 11, 2017",106.29
"Dec 08, 2017",106.05
"Dec 07, 2017",105.11
"Dec 06, 2017",103.77
"Dec 05, 2017",104.6
"Dec 04, 2017",104.69
"Dec 01, 2017",104.61
"Nov 30, 2017",105.75
"Nov 29, 2017",106.78
"Nov 28, 2017",106.84
"Nov 27, 2017",106.98
"Nov 24, 2017",106.95
"Nov 23, 2017",106.58
"Nov 22, 2017",106.46
"Nov 21, 2017",106.38
"Nov 20, 2017",106.18
"Nov 17, 2017",105.89
"Nov 16, 2017",105.23
"Nov 15, 2017",104.47
"Nov 14, 2017",105.2
"Nov 13, 2017",105.61
"Nov 10, 2017",106.26
"Nov 09, 2017",106.16
"Nov 08, 2017",106.31
"Nov 07, 2017",106.86
"Nov 06, 2017",107.67
"Nov 03, 2017",107.67
"Nov 02, 2017",107.43
"Nov 01, 2017",107.46
"Oct 31, 2017",106.52
"Oct 30, 2017",106.95
"Oct 27, 2017",106.2
"Oct 26, 2017",106.38
"Oct 25, 2017",105.95
"Oct 24, 2017",104.93
"Oct 23, 2017",105.16
"Oct 19, 2017",104.7
"Oct 18, 2017",105.39
"Oct 17, 2017",105.54
"Oct 16, 2017",105.6
"Oct 13, 2017",104.97
"Oct 12, 2017",103.87
"Oct 11, 2017",102.77
"Oct 10, 2017",103.2
"Oct 09, 2017",103.08
"Oct 06, 2017",103.08
"Oct 05, 2017",101.86
"Oct 04, 2017",102.07
"Oct 03, 2017",101.5
"Sep 29, 2017",101
"Sep 28, 2017",101
"Sep 27, 2017",100.62
"Sep 26, 2017",101.39
"Sep 25, 2017",101.69
"Sep 22, 2017",102.55
"Sep 21, 2017",104.01
"Sep 20, 2017",104.44
"Sep 19, 2017",104.47
"Sep 18, 2017",104.51
"Sep 15, 2017",103.76
"Sep 14, 2017",103.76
"Sep 13, 2017",103.6
"Sep 12, 2017",103.76
"Sep 11, 2017",103.05
"Sep 08, 2017",102.28
"Sep 07, 2017",102.35
"Sep 06, 2017",102.13
"Sep 05, 2017",102.46
"Sep 04, 2017",102.07
"Sep 01, 2017",102.86
"Aug 31, 2017",102.15
"Aug 30, 2017",101.87
"Aug 29, 2017",101.07
"Aug 28, 2017",102.28
"Aug 24, 2017",101.76
"Aug 23, 2017",101.53
"Aug 22, 2017",100.75
"Aug 21, 2017",100.6
"Aug 18, 2017",101.61
"Aug 17, 2017",102.16
"Aug 16, 2017",102.08
"Aug 14, 2017",100.94
"Aug 11, 2017",99.78
"Aug 10, 2017",100.67
"Aug 09, 2017",102.08
"Aug 08, 2017",102.91
"Aug 07, 2017",103.5
"Aug 04, 2017",103.75
"Aug 03, 2017",103.07
"Aug 02, 2017",103.78
"Aug 01, 2017",103.74
"Jul 31, 2017",103.43
"Jul 28, 2017",102.76
"Jul 27, 2017",103.05
"Jul 26, 2017",102.86
"Jul 25, 2017",102.5
"Jul 24, 2017",102.39
"Jul 21, 2017",101.77
"Jul 20, 2017",101.47
"Jul 19, 2017",101.63
"Jul 18, 2017",101.01
"Jul 17, 2017",101.69
"Jul 14, 2017",101.24
"Jul 13, 2017",101.42
"Jul 12, 2017",100.55
"Jul 11, 2017",100.38
"Jul 10, 2017",100.02
"Jul 07, 2017",99.01
"Jul 06, 2017",99.21
"Jul 05, 2017",98.79
"Jul 04, 2017",98.51
"Jul 03, 2017",98.42
"Jun 30, 2017",97.6
"Jun 29, 2017",97.36
"Jun 28, 2017",97.27
"Jun 27, 2017",97.35
"Jun 23, 2017",98.03
"Jun 22, 2017",98.5
"Jun 21, 2017",98.58
"Jun 20, 2017",98.88
"Jun 19, 2017",98.83
"Jun 16, 2017",98.05
"Jun 15, 2017",98.04
"Jun 14, 2017",98.37
"Jun 13, 2017",98.42
"Jun 12, 2017",98.33
"Jun 09, 2017",98.95
"Jun 08, 2017",98.74
"Jun 07, 2017",98.78
"Jun 06, 2017",98.55
"Jun 05, 2017",98.94
"Jun 02, 2017",98.63
"Jun 01, 2017",98.21
