Date,Open,High,Low,Close,
01-Jan-15,8272.8,8294.7,8248.75,8284,0.557054099
02-Jan-15,8288.7,8410.6,8288.7,8395.45,1.470676946
05-Jan-15,8407.95,8445.6,8363.9,8378.4,0.976817035
06-Jan-15,8325.3,8327.85,8111.35,8127.35,2.669099472
07-Jan-15,8118.65,8151.2,8065.45,8102.1,1.063176884
08-Jan-15,8191.4,8243.5,8167.3,8234.6,0.93298887
09-Jan-15,8285.45,8303.3,8190.8,8284.5,1.373492211
12-Jan-15,8291.35,8332.6,8245.6,8323,1.055108179
13-Jan-15,8346.15,8356.65,8267.9,8299.4,1.073428561
14-Jan-15,8307.25,8326.45,8236.65,8277.55,1.09024907
15-Jan-15,8424.5,8527.1,8380.55,8494.15,1.748691912
16-Jan-15,8504.05,8530.75,8452.25,8513.8,0.928746783
19-Jan-15,8550.05,8570.95,8531.5,8550.7,0.462404032
20-Jan-15,8575.1,8707.9,8574.5,8695.6,1.555775847
21-Jan-15,8719.65,8741.85,8689.6,8729.5,0.6012935
22-Jan-15,8745.85,8774.15,8727,8761.4,0.5402773
23-Jan-15,8827.95,8866.4,8795.4,8835.6,0.807240148
27-Jan-15,8871.35,8925.05,8825.45,8910.5,1.128554351
28-Jan-15,8902.75,8985.05,8874.05,8914.3,1.250838118
29-Jan-15,8901.5,8966.65,8861.25,8952.35,1.189448441
30-Jan-15,8996.6,8996.6,8775.1,8808.9,2.524187759
02-Feb-15,8802.5,8840.8,8751.1,8797.4,1.025013998
03-Feb-15,8823.15,8837.3,8726.65,8756.55,1.267955057
04-Feb-15,8789.15,8792.85,8704.4,8723.7,1.01615275
05-Feb-15,8733.1,8838.45,8683.65,8711.7,1.782660517
06-Feb-15,8696.85,8726.2,8645.55,8661.05,0.932849848
09-Feb-15,8584.4,8605.55,8516.35,8526.35,1.047397066
10-Feb-15,8478.1,8646.25,8470.5,8565.55,2.074848002
11-Feb-15,8603.3,8651.95,8593.65,8627.4,0.678407894
12-Feb-15,8676.95,8732.55,8599.25,8711.55,1.550135186
13-Feb-15,8741.5,8822.1,8729.65,8805.5,1.05903444
16-Feb-15,8831.4,8870.1,8793.4,8809.35,0.872245093
18-Feb-15,8811.55,8894.3,8808.9,8869.1,0.969474055
19-Feb-15,8883.05,8913.45,8794.45,8895.3,1.353126119
20-Feb-15,8895.5,8899.95,8816.3,8833.6,0.948810726
23-Feb-15,8856.85,8869,8736.1,8754.95,1.521273795
24-Feb-15,8772.9,8800.5,8726.75,8762.1,0.845102701
25-Feb-15,8801.9,8840.65,8751.4,8767.25,1.019836826
26-Feb-15,8779,8786.05,8669.45,8683.85,1.344952679
27-Feb-15,8729.5,8856.95,8717.45,8844.6,1.600238602
28-Feb-15,8913.05,8941.1,8751.35,8901.85,2.168236901
02-Mar-15,8953.85,8972.35,8885.45,8956.75,0.978003365
03-Mar-15,8962.85,9008.4,8925.55,8996.25,0.928234114
04-Mar-15,9109.15,9119.2,8893.95,8922.65,2.532620489
05-Mar-15,8929.4,8957.55,8849.35,8937.75,1.222688672
09-Mar-15,8891.15,8891.3,8740.45,8756.75,1.725883679
10-Mar-15,8769.75,8778,8677.35,8712.05,1.159916334
11-Mar-15,8728.75,8755.6,8682.35,8699.95,0.843665597
12-Mar-15,8740.65,8787.2,8732.9,8776,0.621786577
13-Mar-15,8844.05,8849.75,8631.75,8647.75,2.525559707
16-Mar-15,8656.75,8663.55,8612,8633.15,0.598583372
17-Mar-15,8689.1,8742.55,8630.8,8723.3,1.29478148
18-Mar-15,8742.9,8747.25,8664,8685.9,0.960872576
19-Mar-15,8749.45,8788.2,8614.65,8634.65,2.014591423
20-Mar-15,8627.9,8627.9,8553,8570.9,0.875716123
23-Mar-15,8591.55,8608.35,8540.55,8550.9,0.79385988
24-Mar-15,8537.05,8627.75,8535.85,8542.95,1.076635602
